id,opponent,date,attendee_id
1,Chicago White Sox,"04/13/2016, 07:10PM",1
2,Los Angeles Angels,"04/16/2016, 01:10PM",2
3,Milwaukee Brewers,"04/18/2016, 07:10PM",3
4,Cleveland Indians,"04/25/2016, 07:10PM",1
5,Cleveland Indians,"04/26/2016, 07:10PM",3
6,Detroit Tigers,"04/30/2016, 01:10PM",2
7,Detroit Tigers,"05/01/2016, 01:10PM",3
8,Baltimore Orioles,"05/11/2016, 12:10PM",3
9,Toronto Blue Jays,"05/19/2016, 07:10PM",2
10,Toronto Blue Jays,"05/22/2016, 01:10PM",1
11,Kansas City Royals,"05/23/2016, 07:10PM",1
12,Tampa Bay Rays,"06/02/2016, 07:10PM",3
13,Tampa Bay Rays,"06/03/2016, 07:10PM",2
14,Miami Marlins,"06/07/2016, 07:10PM",1
15,Miami Marlins,"06/08/2016, 07:10PM",3
16,Boston Red Sox,"06/11/2016, 01:10PM",3
17,Boston Red Sox,"06/12/2016, 01:10PM",2
18,New York Yankees,"06/18/2016, 01:10PM",1
19,New York Yankees,"06/19/2016, 01:10PM",0
20,Philadelphia Phillies,"06/23/2016, 12:10PM",3
21,Texas Rangers,"07/01/2016, 07:10PM",2
22,Oakland Athletics,"07/04/2016, 01:10PM",2
23,Oakland Athletics,"07/06/2016, 12:10PM",1
24,Cleveland Indians,"07/16/2016, 06:10PM",2
25,Cleveland Indians,"07/17/2016, 01:10PM",1
26,Chicago White Sox,"07/30/2016, 06:10PM",1
27,Houston Astros,"08/09/2016, 07:10PM",2
28,Houston Astros,"08/10/2016, 07:10PM",3
29,Kansas City Royals,"08/12/2016, 07:10PM",3
30,Kansas City Royals,"08/14/2016, 01:10PM",1
31,Detroit Tigers,"08/25/2016, 12:10PM",1
32,Chicago White Sox,"09/02/2016, 07:10PM",3
33,Chicago White Sox,"09/04/2016, 01:10PM",2
34,Kansas City Royals,"09/05/2016, 01:10PM",2
35,Kansas City Royals,"09/06/2016, 07:10PM",1
36,Cleveland Indians,"09/09/2016, 07:10PM",3
37,Cleveland Indians,"09/10/2016, 06:10PM",2
38,Detroit Tigers,"09/21/2016, 07:10PM",3
39,Detroit Tigers,"09/22/2016, 07:10PM",1
40,Seattle Mariners,"09/25/2016, 01:10PM",2
